Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Strategy
Early Fusion (LOGREG),0.9125168236877523,0.9832317073170732,0.9227467811158798,0.9520295202952029,0.8877617375471453,Early Fusion
Early Fusion (RF),0.8236877523553163,0.9813559322033898,0.8283261802575107,0.8983708301008534,0.8823969306801924,Early Fusion
Early Fusion (GB),0.9407806191117093,0.9407806191117093,1.0,0.9694868238557559,0.8794869293796332,Early Fusion
Early Fusion (SVM),0.9313593539703903,0.9709302325581395,0.9556509298998569,0.9632299927901946,0.8606125634022631,Early Fusion
Early Fusion (MLP),0.9434724091520862,0.951856946354883,0.9899856938483548,0.97054698457223,0.8926388346989205,Early Fusion
Late Fusion (LOGREG),0.8936742934051144,0.9813664596273292,0.9041487839771102,0.9411764705882353,0.8759266484588373,Late Fusion
Late Fusion (RF),0.8492597577388964,0.9851239669421488,0.8526466380543634,0.9141104294478528,0.8887696709585122,Late Fusion
Late Fusion (GB),0.9407806191117093,0.9407806191117093,1.0,0.9694868238557559,0.8800721810378462,Late Fusion
Late Fusion (SVM),0.9407806191117093,0.9407806191117093,1.0,0.9694868238557559,0.8295617115359606,Late Fusion
Late Fusion (MLP),0.9394347240915208,0.9407008086253369,0.9985693848354793,0.9687716863289383,0.8357393679282091,Late Fusion
Hybrid Fusion (LOGREG),0.8600269179004038,0.9806138933764136,0.8683834048640916,0.921092564491654,0.8672454155286773,Hybrid Fusion
Hybrid Fusion (RF),0.8681022880215343,0.9823434991974318,0.8755364806866953,0.9258698940998488,0.8914033034204708,Hybrid Fusion
Hybrid Fusion (GB),0.9407806191117093,0.9407806191117093,1.0,0.9694868238557559,0.8886883860059825,Hybrid Fusion
Hybrid Fusion (SVM),0.9407806191117093,0.9407806191117093,1.0,0.9694868238557559,0.8699115619716478,Hybrid Fusion
Hybrid Fusion (MLP),0.9407806191117093,0.9407806191117093,1.0,0.9694868238557559,0.7895695148914034,Hybrid Fusion
Bilinear Pooling (LOGREG),0.8317631224764468,0.9864406779661017,0.8326180257510729,0.9030256012412723,0.9088307972428143,Bilinear Pooling
Bilinear Pooling (RF),0.8061911170928667,0.9842931937172775,0.8068669527896996,0.8867924528301887,0.8664163090128756,Bilinear Pooling
Bilinear Pooling (GB),0.9407806191117093,0.9407806191117093,1.0,0.9694868238557559,0.8723338535570294,Bilinear Pooling
Bilinear Pooling (SVM),0.9407806191117093,0.9407806191117093,1.0,0.9694868238557559,0.8768695539081807,Bilinear Pooling
Bilinear Pooling (MLP),0.9380888290713324,0.9454297407912687,0.9914163090128756,0.9678770949720671,0.8945896735596307,Bilinear Pooling
Metadata Fusion (LOGREG),0.917900403768506,0.9848024316109423,0.927038626609442,0.9550478997789241,0.9089283391858499,Metadata Fusion
Metadata Fusion (RF),0.882907133243607,0.9811320754716981,0.8927038626609443,0.9348314606741573,0.8978735856418261,Metadata Fusion
Metadata Fusion (GB),0.9407806191117093,0.9407806191117093,1.0,0.9694868238557559,0.876788268955651,Metadata Fusion
Metadata Fusion (SVM),0.9475100942126514,0.9495912806539509,0.9971387696709585,0.9727843684577809,0.8948822993887372,Metadata Fusion
Metadata Fusion (MLP),0.9502018842530283,0.9546703296703297,0.994277539341917,0.9740714786264891,0.9041487839771102,Metadata Fusion
