Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
ImageOnly_MLP,0.946164199192463,0.957004160887656,0.9871244635193133,0.971830985915493,0.8718136298608402
TextOnly_MLP,0.9407806191117093,0.9407806191117093,1.0,0.9694868238557559,0.6402490570945506
ImageOnly_MLPClassifier,0.9380888290713324,0.9454297407912687,0.9914163090128756,0.9678770949720671,0.8653921186110026
ImageOnly_RandomForest,0.9367429340511441,0.9405405405405406,0.9957081545064378,0.9673384294649062,0.8695539081805176
TextOnly_MLPClassifier,0.9367429340511441,0.9465753424657535,0.9885550786838341,0.967109867039888,0.6789244375081286
ImageOnly_SVM,0.892328398384926,0.9585185185185185,0.9256080114449213,0.9417758369723436,0.787065938353492
ImageOnly_LogisticRegression,0.8748317631224765,0.9734375,0.8912732474964234,0.9305451829723674,0.8527766939784107
TextOnly_RandomForest,0.3822341857335128,0.96875,0.3547925608011445,0.5193717277486911,0.6236344127975029
TextOnly_SVM,0.37012113055181695,0.979253112033195,0.3376251788268956,0.502127659574468,0.6158148003641566
TextOnly_LogisticRegression,0.3633916554508748,0.991304347826087,0.3261802575107296,0.4908503767491927,0.7197132266874756
